quarter,rank,broker,share,source_id
Q4/2024,1,VPS,0.5584,D1
Q4/2024,2,DSE,0.0998,D1
Q4/2024,3,HCM,0.0603,D1
Q4/2024,4,TCBS,0.0507,D1
Q4/2024,5,MBS,0.0487,D1
Q4/2024,6,SSI,0.0302,D1
Q4/2024,7,VND,0.0282,D1
Q4/2024,8,FPTS,0.0246,D1
Q4/2024,9,PHS,0.0236,D1
Q4/2024,10,MAS,0.0206,D1
Q1/2025,1,VPS,0.5064,D2
Q1/2025,2,DSE,0.1672,D2
Q1/2025,3,TCBS,0.0552,D2
Q1/2025,4,HCM,0.055,D2
Q1/2025,5,MBS,0.0488,D2
Q1/2025,6,SSI,0.0311,D2
Q1/2025,7,PHS,0.0253,D2
Q1/2025,8,VND,0.0239,D2
Q1/2025,9,MAS,0.0229,D2
Q1/2025,10,FPTS,0.02,D2
Q2/2025,1,VPS,0.4639,D3
Q2/2025,2,DSE,0.1762,D3
Q2/2025,3,HCM,0.0611,D3
Q2/2025,4,TCBS,0.0576,D3
Q2/2025,5,MBS,0.0498,D3
Q2/2025,6,SSI,0.036,D3
Q2/2025,7,VND,0.0301,D3
Q2/2025,8,PHS,0.0236,D3
Q2/2025,9,MAS,0.0223,D3
Q2/2025,10,FPTS,0.0206,D3
Q3/2025,1,VPS,0.3614,D4
Q3/2025,2,DSE,0.2367,D4
Q3/2025,3,HCM,0.0786,D4
Q3/2025,4,TCBS,0.0611,D4
Q3/2025,5,SSI,0.046,D4
Q3/2025,6,MBS,0.0406,D4
Q3/2025,7,VND,0.0371,D4
Q3/2025,8,FPTS,0.026,D4
Q3/2025,9,PHS,0.0218,D4
Q3/2025,10,VPBankS,0.0209,D4
Q4/2025,1,VPS,0.3383,D5
Q4/2025,2,DSE,0.2426,D5
Q4/2025,3,HCM,0.0919,D5
Q4/2025,4,SSI,0.0687,D5
Q4/2025,5,TCBS,0.0538,D5
Q4/2025,6,VND,0.0401,D5
Q4/2025,7,MBS,0.0364,D5
Q4/2025,8,FPTS,0.0263,D5
Q4/2025,9,MAS,0.0223,D5
Q4/2025,10,VPBankS,0.0173,D5
Q1/2026,1,VPS,0.3334,D6
Q1/2026,2,DSE,0.255,D6
Q1/2026,3,HCM,0.0966,D6
Q1/2026,4,SSI,0.072,D6
Q1/2026,5,TCBS,0.0432,D6
Q1/2026,6,VND,0.0387,D6
Q1/2026,7,MBS,0.035,D6
Q1/2026,8,FPTS,0.0261,D6
Q1/2026,9,MAS,0.0202,D6
Q1/2026,10,PHS,0.0151,D6
Q2/2026,1,VPS,0.3384,D7
Q2/2026,2,DSE,0.2538,D7
Q2/2026,3,HCM,0.0923,D7
Q2/2026,4,SSI,0.0821,D7
Q2/2026,5,TCBS,0.0483,D7
Q2/2026,6,VND,0.0401,D7
Q2/2026,7,MBS,0.04,D7
Q2/2026,8,FPTS,0.0191,D7
Q2/2026,9,MAS,0.0182,D7
Q2/2026,10,PHS,0.0129,D7
