source_id,description,url,accessed,unit,grade,status
P1,"Vietstock 16/01/2026 – DNSE Q4/2025 results (loans + advances 5,832 bn)",https://vietstock.vn/2026/01/dnse-dat-ky-luc-du-no-cho-vay-ky-quy-va-ung-truoc-tien-ban-737-1391525.htm,2026-09-25,VND bn,C,verified
P2,"Vietstock 18/04/2026 – DNSE Q1/2026 results (loans + advances 5,910 bn)",https://vietstock.vn/2026/04/dnse-noi-tiep-da-tang-truong-doanh-thu-va-du-no-margin-737-1429717.htm,2026-09-25,VND bn,C,verified
P3,"Tin nhanh chứng khoán 21/07/2026 – DNSE Q2/2026 results (6,303 bn; H1 derivatives share 25.47%)",https://www.tinnhanhchungkhoan.vn/du-no-cho-vay-ky-quy-va-ung-truoc-tien-ban-cua-dnse-dat-ky-luc-tren-6300-ty-dong-post394383.html,2026-09-25,VND bn,C,verified
F1,"DNSE financial statements 6M/2026, income statement code 24 + note 29 (borrowing cost of loans 239.96 bn)",https://ir.dnse.com.vn/vi/ctype-finance_report,2026-09-25,VND,A,verified by BA (check.pdf)
S5,Team B dataset source ID – details pending,,,,,PENDING BA
S6,Team B dataset source ID – details pending,,,,,PENDING BA
S7,Team B dataset source ID – details pending,,,,,PENDING BA
M1.1,Team B dataset source ID – details pending,,,,,PENDING BA
M1.2,Team B dataset source ID – details pending,,,,,PENDING BA
M2.1,Team B dataset source ID – details pending,,,,,PENDING BA
M2.2,Team B dataset source ID – details pending,,,,,PENDING BA
M3.1,Team B dataset source ID – details pending,,,,,PENDING BA
M3.2,Team B dataset source ID – details pending,,,,,PENDING BA
M4.1,Team B dataset source ID – details pending,,,,,PENDING BA
M4.2,Team B dataset source ID – details pending,,,,,PENDING BA
D1,Team B dataset source ID – details pending,,,,,PENDING BA
D2,Team B dataset source ID – details pending,,,,,PENDING BA
D3,Team B dataset source ID – details pending,,,,,PENDING BA
D4,Team B dataset source ID – details pending,,,,,PENDING BA
D5,Team B dataset source ID – details pending,,,,,PENDING BA
D6,Team B dataset source ID – details pending,,,,,PENDING BA
D7,Team B dataset source ID – details pending,,,,,PENDING BA
A1,Team B dataset source ID – details pending,,,,,PENDING BA
A2,Team B dataset source ID – details pending,,,,,PENDING BA
