ticker,quarter,total_loans_bn,source,sample_total,share
DSE,Q4/2024,3881.58547607,"DNSE Annual Report 2025, note 7(c)",78169.58547607,0.04965595573304232
SSI,Q4/2024,21999.0,BA 2.1_Margin (verified = FS code 114),78169.58547607,0.2814265915064183
VND,Q4/2024,10344.0,BA 2.1_Margin (verified = FS code 114),78169.58547607,0.1323276813738075
HCM,Q4/2024,20429.0,BA 2.1_Margin (verified = FS code 114),78169.58547607,0.26134205363355695
VCI,Q4/2024,11222.0,BA 2.1_Margin (verified = FS code 114),78169.58547607,0.14355967134347133
MBS,Q4/2024,10294.0,BA 2.1_Margin (verified = FS code 114),78169.58547607,0.1316880464097036
DSE,Q2/2025,5052.616668312,"DNSE FS Q2/2025, code 114",92746.23268312,0.05447786419072077
SSI,Q2/2025,33134.0,BA 2.1_Margin (verified = FS code 114),92746.23268312,0.35725440313254314
VND,Q2/2025,10644.0,BA 2.1_Margin (verified = FS code 114),92746.23268312,0.11476476932887031
HCM,Q2/2025,19813.0,BA 2.1_Margin (verified = FS code 114),92746.23268312,0.2136259277257523
VCI,Q2/2025,11306.616014808,"VCI FS Q2/2025, code 114",92746.23268312,0.12190916749619983
MBS,Q2/2025,12796.0,BA 2.1_Margin (verified = FS code 114),92746.23268312,0.1379678681259136
DSE,Q4/2025,5832.2,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.04923798556680839
SSI,Q4/2025,38940.1,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.3287493710383861
VND,Q4/2025,14319.0,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.12088726643995908
HCM,Q4/2025,28150.1,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.23765546749154912
VCI,Q4/2025,16167.2,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.13649057992793537
MBS,Q4/2025,15040.6,BA 2.3_Margin E/H (verified = FS code 114),118449.2,0.126979329535362
DSE,Q2/2026,6303.1,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.05139843437454488
SSI,Q2/2026,40472.6,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.3300325673188122
VND,Q2/2026,12859.04,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.10485864472396877
HCM,Q2/2026,29023.5,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.2366712348002734
VCI,Q2/2026,17145.8,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.13981489681253217
MBS,Q2/2026,16828.1,BA 2.3_Margin E/H (verified = FS code 114),122632.14,0.13722422196986858
