ticker,quarter,rev_brokerage_code06_bn,int_loans_receivables_code03_bn,total_loans_code114_bn,dse_share_of_sample_loans,source,unit
DSE,Q3/2025,156.169,171.171,5750.067,0.05242408945819551,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SSI,Q3/2025,921.757,1005.983,39231.449,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VND,Q3/2025,387.46,387.856,14843.503,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
HCM,Q3/2025,506.66,641.575,20215.716,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VCI,Q3/2025,372.14,313.845,13944.748,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
MBS,Q3/2025,369.558,408.092,15698.196,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SAMPLE_TOTAL,Q3/2025,2713.744,2928.522,109683.679,,sum of 6 brokers,"VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
DSE,Q4/2025,125.005,185.851,5832.191,0.04923789586716868,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SSI,Q4/2025,628.451,1098.422,38940.059,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VND,Q4/2025,230.981,407.053,14319.105,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
HCM,Q4/2025,285.377,731.522,28150.107,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VCI,Q4/2025,257.096,376.268,16167.186,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
MBS,Q4/2025,228.54,429.073,15040.585,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SAMPLE_TOTAL,Q4/2025,1755.45,3228.189,118449.233,,sum of 6 brokers,"VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
DSE,Q1/2026,119.524,147.475,5909.548,0.05103443573152154,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SSI,Q1/2026,606.222,1049.94,36928.299,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VND,Q1/2026,233.429,403.986,12683.253,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
HCM,Q1/2026,324.313,765.252,28140.477,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VCI,Q1/2026,338.866,414.534,16613.355,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
MBS,Q1/2026,241.339,439.334,15520.372,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SAMPLE_TOTAL,Q1/2026,1863.693,3220.5209999999997,115795.304,,sum of 6 brokers,"VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
DSE,Q2/2026,102.525,188.602,6303.065,0.051398198424877965,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SSI,Q2/2026,462.23,1091.489,40472.551,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VND,Q2/2026,148.225,373.989,12859.039,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
HCM,Q2/2026,196.653,765.985,29023.523,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
VCI,Q2/2026,226.665,463.024,17145.79,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
MBS,Q2/2026,163.614,465.441,16828.054,,"Company FS (consolidated where published), see data/sources/bctc_quarterly_4Q_official.csv","VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
SAMPLE_TOTAL,Q2/2026,1299.912,3348.53,122632.022,,sum of 6 brokers,"VND bn; code 06/03 = quarter flow, code 114 = end of quarter"
