segment,feature_no,feature,broker,available_Yes_No_Unknown,evidence_url,accessed_date,note,filled_by
New investors,1,Online account opening with eKYC (same day),DNSE,Yes,https://hdsd.dnse.com.vn/master/huong-dan-mo-tai-khoan-ekyc.md,2026-09-26,"Fully online, ~2 minutes; auto-approval",Claude (web)
New investors,2,"Zero or near-zero stock brokerage fee (all-in, incl. exchange fee)",DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,No brokerage fee; exchange fee 0.018-0.027% still payable (all-in ~ TCBS),Claude (web)
New investors,3,Odd-lot / fractional share trading in app,DNSE,Yes,https://hdsd.dnse.com.vn/man-hinh-giao-dich/cac-quy-dinh-ve-giao-dich-chung-khoan/4.-giao-dich-co-phieu-lo-le.md,2026-09-26,Odd lots 1-99 in Entrade X,Claude (web)
New investors,4,Beginner education content or academy,DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,Học đầu tư / Thư viện kiến thức,Claude (web)
New investors,5,Paper trading / demo account,DNSE,No,,2026-09-26,Only guides; real account required,Teammate (checked 26/9)
New investors,6,Referral or first-trade reward programme,DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,Refer-a-friend + first-deposit Star reward,Claude (web)
New investors,7,"Copy-trade, model portfolio or robo-advice",DNSE,No,https://hdsd.dnse.com.vn/san-pham-dich-vu/y-tuong-dau-tu.md,2026-09-26,Verified by Phong: no copy-trade / robo-advice,Phong (manual)
New investors,8,Small-ticket investing (fund / bond / periodic DCA),DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/sp-trung-vang.md,2026-09-26,"Trứng vàng (bond-backed), IPO/PO online; funds/DCA not confirmed",Claude (web)
Margin,9,Instant online margin activation,DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/huong-dan-dang-ky-tai-khoan-ky-quy/i.-dang-ky-dich-vu-margin-online.md,2026-09-26,"Margin Online registration in app, e-contract",Claude (web)
Margin,10,Multiple margin packages / rate tiers,DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/sp-giao-dich-ky-quy-theo-deal/sp-giao-dich-ky-quy-rocket-mien-lai.md,2026-09-26,"Rocket R3/R5/R10, Dynamic D4, 5.99 Plus, 9.99%",Claude (web)
Margin,11,Interest-free or promotional margin rate,DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/sp-giao-dich-ky-quy-theo-deal/sp-giao-dich-ky-quy-rocket-mien-lai.md,2026-09-26,0% for first 3/5/10 days,Claude (web)
Margin,12,Marginable stock list size (write the number),DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/sp-giao-dich-ky-quy-theo-deal/danh-muc-cho-vay-ky-quy.md,2026-09-26,>150 stocks,Claude (web)
Margin,13,Real-time margin-call alerts (push / SMS),DNSE,Yes,https://hdsd.dnse.com.vn/san-pham-dich-vu/sp-giao-dich-ky-quy-theo-deal/call-margin-force-sell.md,2026-09-26,Email + app; checked hourly (not strictly real-time),Claude (web)
Margin,14,Online advance of sale proceeds (ung truoc),DNSE,Yes,https://hdsd.dnse.com.vn/huong-dan-giao-dich-tien/ung-truoc-tien-ban/qua-ung-dung-entradex.md,2026-09-26,In-app advance,Claude (web)
Margin,15,Margin rate shown transparently in app,DNSE,Yes,https://www.dnse.com.vn/,2026-09-26,"Package rates published, from 5.99%",Claude (web)
Derivatives,16,VN30 futures trading in main mobile app,DNSE,Yes,https://hdsd.dnse.com.vn/man-hinh-giao-dich/2.-huong-da-n-giao-di-ch-tren-app/dat-lenh-giao-dich-tren-app/dat-lenh-phai-sinh-tren-app.md,2026-09-26,Help page for derivatives orders in app (title only),Claude (web)
Derivatives,17,Conditional orders (stop-loss / take-profit / OCO),DNSE,Yes,https://hdsd.dnse.com.vn/,2026-09-26,"Stop, OCO, SL/TP, trailing stop help pages",Claude (web)
Derivatives,18,Volume-tiered or zero derivatives fee,DNSE,Yes,BA dataset 2.5_Pricing [S14],2026-09-26,"Progressive tier 1,000 -> 300 VND/contract (web fee page is an image)",Claude (web)
