ticker,quarter,fs_code,variable,value_bn,period_type,source_file,statement,check,accessed
DSE,Q3/2025,114,total_loans_bn,5750.067,end of quarter,DSE_BCTC_HopNhat_Q3-2025.pdf,Balance sheet,two independent OCR passes agree / matches BA where available,2026-09-26
DSE,Q3/2025,03,int_loans_receivables_bn,171.171,quarter flow,DSE_BCTC_HopNhat_Q3-2025.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q3/2025,06,rev_brokerage_bn,156.169,quarter flow,DSE_BCTC_HopNhat_Q3-2025.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q4/2025,114,total_loans_bn,5832.191,end of quarter,DSE_BCTC_HopNhat_Q4-2025.pdf,Balance sheet,two independent OCR passes agree / matches BA where available,2026-09-26
DSE,Q4/2025,03,int_loans_receivables_bn,185.851,quarter flow,DSE_BCTC_HopNhat_Q4-2025.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q4/2025,06,rev_brokerage_bn,125.005,quarter flow,DSE_BCTC_HopNhat_Q4-2025.pdf,Income statement (quarter column),= FY2025 404.02 - 9M 279.02,2026-09-26
DSE,Q1/2026,114,total_loans_bn,5909.548,end of quarter,DSE_BCTC_HopNhat_Q1-2026.pdf,Balance sheet,two independent OCR passes agree / matches BA where available,2026-09-26
DSE,Q1/2026,03,int_loans_receivables_bn,147.475,quarter flow,DSE_BCTC_HopNhat_Q1-2026.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q1/2026,06,rev_brokerage_bn,119.524,quarter flow,DSE_BCTC_HopNhat_Q1-2026.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q2/2026,114,total_loans_bn,6303.065,end of quarter,DSE_BCTC_HopNhat_Q2-2026.pdf,Balance sheet,two independent OCR passes agree / matches BA where available,2026-09-26
DSE,Q2/2026,03,int_loans_receivables_bn,188.602,quarter flow,DSE_BCTC_HopNhat_Q2-2026.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
DSE,Q2/2026,06,rev_brokerage_bn,102.525,quarter flow,DSE_BCTC_HopNhat_Q2-2026.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
SSI,Q3/2025,114,total_loans_bn,39231.449,end of quarter,SSI_BCTC_HopNhat_Q3-2025.pdf,Balance sheet,two independent OCR passes agree / matches BA where available,2026-09-26
SSI,Q3/2025,03,int_loans_receivables_bn,1005.983,quarter flow,SSI_BCTC_HopNhat_Q3-2025.pdf,Income statement (quarter column),cross-checked: quarters sum to FS cumulative (6M/9M/FY),2026-09-26
