ticker,period,item,value_VND_or_ratio,source,note
SSI,6M/2026,code24_total_provisions_and_borrowing_cost_of_loans,-41430209228,"SSI_BCTC_HopNhat_Q2-2026.pdf p.8 (IS, code 24)",Net provision reversal; no borrowing cost booked in code 24
SSI,Q2/2026,code24_total_provisions_and_borrowing_cost_of_loans,0,SSI_BCTC_HopNhat_Q2-2026.pdf p.8,
SSI,6M/2026,interest_expense,1519650474147,SSI_BCTC_HopNhat_Q2-2026.pdf p.9 (Chi phí lãi vay),Matches BA dataset 2.2_Margin!T3
VND,6M/2026,code24_total_provisions_and_borrowing_cost_of_loans,-311389719506,VND_BCTC_HopNhat_Q2-2026.pdf p.8 (IS) + note 27 p.52,"Note 27: only provisions (loans +6.13bn, receivables -332.14bn, FA impairment +14.62bn); borrowing cost of loans = 0"
VND,6M/2026,rev_lending_loans_and_receivables,777975374625,VND_BCTC_HopNhat_Q2-2026.pdf note 26.4 p.52,Matches BA dataset 2.3_Margin!J4
VND,6M/2026,exp_brokerage,267279031255,VND_BCTC_HopNhat_Q2-2026.pdf p.8,Matches BA dataset 2.3_Brokerage!G4
MBS,6M/2026,code24_total_provisions_and_borrowing_cost_of_loans,477824944,"MBS_BCTC_HopNhat_Q2-2026.pdf p.9 (IS, code 24; page scanned rotated)","Upper bound for borrowing cost of loans = 0.48bn, far below break-even 21bn"
MBS,6M/2026,exp_brokerage,349396961605,MBS_BCTC_HopNhat_Q2-2026.pdf p.9,Matches BA dataset 2.3_Brokerage!G7
DSE,31/12/2025,margin_loans,5248085441739,"DNSE_BCTN_2025.pdf, FS note 7(c)",
DSE,31/12/2025,sale_proceeds_advances,584105681573,"DNSE_BCTN_2025.pdf, FS note 7(c)",
DSE,31/12/2025,total_loans,5832191123312,"DNSE_BCTN_2025.pdf, balance sheet code 114",
DSE,31/12/2024,margin_loans,3783968871148,"DNSE_BCTN_2025.pdf, FS note 7(c) comparative","BA dataset Q4/2024 = 3,785 is margin-only, while Q4/2025 = 5,832 is total -> DSE series mixes definitions over time"
DSE,31/12/2024,sale_proceeds_advances,97616604922,"DNSE_BCTN_2025.pdf, FS note 7(c) comparative",
DSE,31/12/2024,total_loans,3881585476070,"DNSE_BCTN_2025.pdf, balance sheet comparative",
DSE,31/12/2025,equity,4302330000000,"DNSE_BCTN_2025.pdf, key figures table (4,302,330 m)",Matches BA dataset
DSE,FY2025,rev_brokerage,404020124118,"DNSE_BCTN_2025.pdf, IS code 06",
